APIB_IND,tested_total,tested_valid,proficient_valid,high_score_valid,suppressed_records,proficiency_rate,high_score_rate,valid_coverage,record_count,suppressed_share
AP,297983,297923,206034.0,130022.0,32,0.691567955478429,0.43642820460320286,0.9997986462314964,180,0.17777777777777778
IB,13103,13007,9322.0,4745.0,46,0.7166910125317137,0.36480356730991004,0.9926734335648325,161,0.2857142857142857
