APIB_IND,aggregation_index,aggregation_code,aggregation_name,NRC_CODE,NRC_DESC,COUNTY_CODE,COUNTY_NAME,NYC_IND,tested_student_cnt,tested_cnt_valid,proficiency_cnt_valid,high_score_cnt_valid,is_suppressed,proficiency_rate,high_score_rate,valid_coverage,resource_class
AP,3,400900010000,NORTH TONAWANDA,5.0,AVERAGE NEEDS,40.0,NIAGARA,0.0,196,188,139.0,76.0,5,0.7393617021276596,0.40425531914893614,0.9591836734693877,平均
AP,3,401001060000,STARPOINT,5.0,AVERAGE NEEDS,40.0,NIAGARA,0.0,473,463,322.0,172.0,8,0.6954643628509719,0.3714902807775378,0.9788583509513742,平均
AP,3,401301040000,BARKER,5.0,AVERAGE NEEDS,40.0,NIAGARA,0.0,39,35,21.0,10.0,2,0.6,0.2857142857142857,0.8974358974358975,平均
AP,3,411101060000,CLINTON,5.0,AVERAGE NEEDS,41.0,ONEIDA,0.0,190,181,154.0,102.0,5,0.850828729281768,0.56353591160221,0.9526315789473684,平均
AP,3,411501060000,NEW HARTFORD,6.0,LOW NEEDS,41.0,ONEIDA,0.0,890,873,589.0,368.0,11,0.6746849942726232,0.4215349369988545,0.9808988764044944,低N/RC
AP,3,411504020000,NEW YORK MILLS,5.0,AVERAGE NEEDS,41.0,ONEIDA,0.0,5,0,0.0,0.0,2,,,0.0,平均
AP,3,411800010000,ROME,3.0,URBAN/SUBURBAN/HIGH NEEDS,41.0,ONEIDA,0.0,297,286,138.0,52.0,5,0.4825174825174825,0.18181818181818182,0.9629629629629629,城市-郊区
AP,3,411902040000,WATERVILLE,5.0,AVERAGE NEEDS,41.0,ONEIDA,0.0,42,38,21.0,9.0,2,0.5526315789473685,0.23684210526315788,0.9047619047619048,平均
AP,3,412000050000,SHERRILL,5.0,AVERAGE NEEDS,41.0,ONEIDA,0.0,109,104,84.0,39.0,3,0.8076923076923077,0.375,0.9541284403669725,平均
AP,3,412201060000,HOLLAND PATENT,5.0,AVERAGE NEEDS,41.0,ONEIDA,0.0,99,88,54.0,22.0,5,0.6136363636363636,0.25,0.8888888888888888,平均
AP,3,412300010000,UTICA,3.0,URBAN/SUBURBAN/HIGH NEEDS,41.0,ONEIDA,0.0,294,284,109.0,35.0,7,0.38380281690140844,0.12323943661971831,0.9659863945578231,城市-郊区
AP,3,412801040000,WESTMORELAND,5.0,AVERAGE NEEDS,41.0,ONEIDA,0.0,63,63,41.0,22.0,0,0.6507936507936508,0.3492063492063492,1.0,平均
AP,3,412901040000,ORISKANY,5.0,AVERAGE NEEDS,41.0,ONEIDA,0.0,60,55,28.0,10.0,2,0.509090909090909,0.18181818181818182,0.9166666666666666,平均
AP,3,412902060000,WHITESBORO,5.0,AVERAGE NEEDS,41.0,ONEIDA,0.0,338,333,248.0,137.0,4,0.7447447447447447,0.4114114114114114,0.985207100591716,平均
AP,3,420303060000,NORTH SYRACUSE,5.0,AVERAGE NEEDS,42.0,ONONDAGA,0.0,531,520,394.0,237.0,8,0.7576923076923077,0.45576923076923076,0.9792843691148776,平均
AP,3,420401060000,EAST SYRACUSE MINOA,5.0,AVERAGE NEEDS,42.0,ONONDAGA,0.0,205,189,158.0,97.0,9,0.8359788359788359,0.5132275132275133,0.9219512195121952,平均
AP,3,420411060000,JAMESVILLE-DEWITT,5.0,AVERAGE NEEDS,42.0,ONONDAGA,0.0,450,431,382.0,273.0,11,0.8863109048723898,0.6334106728538283,0.9577777777777777,平均
AP,3,420501060000,JORDAN ELBRIDGE,5.0,AVERAGE NEEDS,42.0,ONONDAGA,0.0,78,69,34.0,17.0,3,0.4927536231884058,0.2463768115942029,0.8846153846153846,平均
AP,3,420601040000,FABIUS-POMPEY,5.0,AVERAGE NEEDS,42.0,ONONDAGA,0.0,42,29,17.0,7.0,5,0.5862068965517241,0.2413793103448276,0.6904761904761905,平均
AP,3,420701060000,WESTHILL,5.0,AVERAGE NEEDS,42.0,ONONDAGA,0.0,221,215,181.0,102.0,3,0.8418604651162791,0.4744186046511628,0.9728506787330317,平均
AP,3,420901060000,BALDWINSVILLE,5.0,AVERAGE NEEDS,42.0,ONONDAGA,0.0,542,510,404.0,225.0,16,0.792156862745098,0.4411764705882353,0.940959409594096,平均
